OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
55,eez,150,Palmyra Atoll,UMI,353242.059245,93.71,84.54,76.42,0,92.88,0,48.96,48.96,92.7,57.02,79.17,0,0,100,0,0,78.51,76.39,0,-0.53,350345543356.782,2258667.94299159
56,eez,151,American Samoa,ASM,406815.936032,85.86,87.96,95.63,94.17,56.59,72.76,42.16,42.16,97.82,62.32,77.3,85.98,99.2,68.81,0,0,65.56,78.1,81.81,0.44,430023055340.941,3143358.33392003
57,eez,152,Samoa,WSM,132305.567661,74.3,89.86,95.46,90.53,91.29,82.19,12.46,12.46,96.38,67.88,66.13,42.86,3.52,2.83,0,44.65,35.35,83.34,84.5,1.37,140704278783.779,1923599.31586034
58,eez,153,Cook Islands,COK,1972842.71662,79.87,82.46,92.51,53.99,92.79,58.46,46.19,46.15,85.18,66.5,69.57,47.15,35.84,100,1.01,30.04,83.25,79.75,87.49,0.48,2121721260239.25,7310178.93136972
59,eez,154,Niue,NIU,318243.753892,77.98,80.88,85.86,52.75,85.28,33.28,35.64,35.64,84.02,66.39,68.09,57.62,81.96,38.61,0,0,52.5,77.75,84.27,0.2,356235058490.695,2243702.41304741
60,eez,155,Tonga,TON,668054.123398,71.11,88.56,94.7,87.32,69.33,99.63,19.83,19.82,97.59,63.11,69.1,99.81,100,3.76,0.04,46.68,33.44,79.54,80.28,1.34,757846744959.836,3889367.1900483
61,eez,156,Tokelau,TKL,321242.329818,79.41,76.94,91.8,53.31,74.66,71.51,32.15,32.15,75.32,54.64,66.59,80.39,89.28,0,0,0,27.32,78.55,83.36,0.38,326906828868.552,2285930.80997195
62,eez,157,Phoenix Group,KIR,748008.706042,61.78,87.16,100,0,97.97,68.84,69.08,69.08,96.64,60.92,80.67,74.66,80.47,100,0,0,80.46,77.68,74.23,-0.96,746387993135.477,3357076.89637825
63,eez,158,Howland Island and Baker Island,UMI,437861.783601,86.65,89.05,100,0,97.91,0,85.38,85.38,100,57.17,89.6,0,0,100,0,0,78.58,78.11,0,-0.36,433546844693.49,2384043.30358712
64,eez,159,Johnston Atoll,UMI,445116.526912,93.71,84.16,75.5,0,75.25,0,50.59,50.59,92.26,56.71,76.26,0,0,100,0,0,78.35,76.06,0,-0.63,478141237564.49,2461294.72168041
65,eez,16,Australia,AUS,6956845.81259,98.21,93.39,89.4,92.92,81.33,100,48.89,40.2,94.48,84.95,79.74,95.62,91.23,100,12.41,53.63,92.48,92.29,60.19,0.07,9145385090152.4,49999756.974901
66,eez,161,Wallis and Futuna,WLF,262863.597187,64.92,89.81,100,0,92.54,72.79,68.84,68.84,98.48,74.84,77.4,81.04,89.28,0,0,0,37.42,81.15,84.65,0.64,275629018202.842,2345358.89838771
67,eez,162,New Zealand,NZL,4106953.90739,95.73,87.94,68.64,64.64,79.13,100,67.97,72.29,90.16,61.74,78.94,100,100,65.21,100,57.52,63.48,85.71,100,-0.43,7799741292434.9,34211683.018198
68,eez,163,United States,USA,8591243.71191,100,79.33,75.22,61.6,74.6,99.91,68.47,66.77,75.66,69.86,68.89,77.8,55.69,74.74,13.29,36.3,72.3,83,45.01,-0.87,21920763814024.3,118306519.583597
69,eez,164,Belize,BLZ,36249.8346044,72.65,75.8,23.57,38.85,66.15,100,39.78,40.42,61.32,68.64,63.21,100,100,100,47.05,31.46,84.32,90.28,98.86,-0.02,39672514648.6963,1116989.02961938
70,eez,166,Jamaica,JAM,246488.447711,60.46,82.36,51.67,99.07,43.23,88.69,25.31,25.31,79.01,68.81,60.62,79.89,71.09,84.02,0.01,0.5,76.41,85.72,87.32,0.14,269253406958.507,2788454.98691135
71,eez,167,Guyana,GUY,136909.972094,58.57,91.3,89.5,89.47,74.49,98.63,15.99,15.98,96.98,69.35,61.98,69.34,40.06,17.96,0.43,0,43.65,85.62,25.53,-0.06,142246382436.98,1704877.959781
72,eez,168,Suriname,SUR,128363.011782,71.11,91.9,99.74,99.74,76.89,75.3,18.48,18.47,99.87,71.96,68.07,85.75,96.2,100,0.39,39.73,85.98,83.93,11.38,-0.49,129867530522.804,1706026.06234296
73,eez,169,French Guiana,GUF,136563.775857,70.41,93.74,100,100,83.16,32.26,34.91,34.91,100,77.69,71.64,47.4,62.55,100,0,0,88.84,87.49,26.32,0.18,138355563105.556,1682716.14389918
